Country name_x,Alpha-2 code,ISO3,Numeric code,latitude,longitude,year,Country name_y,Healthy life expectancy at birth,INDICATOR_x,SUBJECT_x,MEASURE_x,FREQUENCY_x,money,Flag Codes_x,INDICATOR_y,SUBJECT_y,MEASURE_y,FREQUENCY_y,time,Flag Codes_y
Australia,AU,AUS,36,-27,133,2005,Australia,69.8,AVWAGE,TOT,USD,A,52013.94,,HRWKD,TOT,HR_WKD,A,1807.904,
Australia,AU,AUS,36,-27,133,2007,Australia,69.96,AVWAGE,TOT,USD,A,53805,,HRWKD,TOT,HR_WKD,A,1803.099,
Australia,AU,AUS,36,-27,133,2008,Australia,70.04,AVWAGE,TOT,USD,A,54149,,HRWKD,TOT,HR_WKD,A,1799.053,
Australia,AU,AUS,36,-27,133,2010,Australia,70.2,AVWAGE,TOT,USD,A,55536,,HRWKD,TOT,HR_WKD,A,1777.571,
Australia,AU,AUS,36,-27,133,2011,Australia,70.28,AVWAGE,TOT,USD,A,57361,,HRWKD,TOT,HR_WKD,A,1773.895,
Australia,AU,AUS,36,-27,133,2012,Australia,70.36,AVWAGE,TOT,USD,A,57752,,HRWKD,TOT,HR_WKD,A,1770.775,
Australia,AU,AUS,36,-27,133,2013,Australia,70.44,AVWAGE,TOT,USD,A,57579,,HRWKD,TOT,HR_WKD,A,1766,
Australia,AU,AUS,36,-27,133,2014,Australia,70.52,AVWAGE,TOT,USD,A,58102,,HRWKD,TOT,HR_WKD,A,1755.133,
Australia,AU,AUS,36,-27,133,2015,Australia,70.6,AVWAGE,TOT,USD,A,57744,,HRWKD,TOT,HR_WKD,A,1751.305,
Australia,AU,AUS,36,-27,133,2016,Australia,70.675,AVWAGE,TOT,USD,A,57885,,HRWKD,TOT,HR_WKD,A,1738.715,
Australia,AU,AUS,36,-27,133,2017,Australia,70.75,AVWAGE,TOT,USD,A,57619,,HRWKD,TOT,HR_WKD,A,1738.494,
Australia,AU,AUS,36,-27,133,2018,Australia,70.825,AVWAGE,TOT,USD,A,57843,,HRWKD,TOT,HR_WKD,A,1732.539,
Australia,AU,AUS,36,-27,133,2019,Australia,70.9,AVWAGE,TOT,USD,A,58620,,HRWKD,TOT,HR_WKD,A,1722.313,
Australia,AU,AUS,36,-27,133,2020,Australia,70.975,AVWAGE,TOT,USD,A,60377,,HRWKD,TOT,HR_WKD,A,1683.112,
Australia,AU,AUS,36,-27,133,2021,Australia,71.05,AVWAGE,TOT,USD,A,60681.5,,HRWKD,TOT,HR_WKD,A,1694.129,
Austria,AT,AUT,40,47.3333,13.3333,2006,Austria,69.5,AVWAGE,TOT,USD,A,60698,,HRWKD,TOT,HR_WKD,A,1617,
Austria,AT,AUT,40,47.3333,13.3333,2008,Austria,69.7,AVWAGE,TOT,USD,A,62081,,HRWKD,TOT,HR_WKD,A,1599,
Austria,AT,AUT,40,47.3333,13.3333,2010,Austria,69.9,AVWAGE,TOT,USD,A,62831,,HRWKD,TOT,HR_WKD,A,1552,
Austria,AT,AUT,40,47.3333,13.3333,2011,Austria,70,AVWAGE,TOT,USD,A,62159,,HRWKD,TOT,HR_WKD,A,1557,
Austria,AT,AUT,40,47.3333,13.3333,2012,Austria,70.1,AVWAGE,TOT,USD,A,62515,,HRWKD,TOT,HR_WKD,A,1535,
Austria,AT,AUT,40,47.3333,13.3333,2013,Austria,70.2,AVWAGE,TOT,USD,A,62568,,HRWKD,TOT,HR_WKD,A,1520,
Austria,AT,AUT,40,47.3333,13.3333,2014,Austria,70.3,AVWAGE,TOT,USD,A,62801,,HRWKD,TOT,HR_WKD,A,1510,
Austria,AT,AUT,40,47.3333,13.3333,2015,Austria,70.4,AVWAGE,TOT,USD,A,63231,,HRWKD,TOT,HR_WKD,A,1495,
